,sentiment,city,country,region
0,negative,Khartoum,Sudan,Nile Basin
1,neutral,Jeddha,Saudi Arabia,Gulf
2,positive,Jeddha,Saudi Arabia,Gulf
3,neutral,Riyadh,Saudi Arabia,Gulf
4,neutral,Jeddha,Saudi Arabia,Levant
5,negative,Riyadh,Saudi Arabia,Gulf
6,neutral,Riyadh,Saudi Arabia,Gulf
7,neutral,Riyadh,Saudi Arabia,Gulf
8,positive,Jeddha,Saudi Arabia,Gulf
9,positive,Jeddha,Saudi Arabia,Gulf
10,positive,Jeddha,Saudi Arabia,Gulf
11,negative,Riyadh,Saudi Arabia,Gulf
12,negative,Riyadh,Saudi Arabia,Gulf
13,negative,Riyadh,Saudi Arabia,Gulf
14,neutral,Jeddha,Saudi Arabia,Gulf
15,negative,Riyadh,Saudi Arabia,Gulf
16,negative,Jeddha,Saudi Arabia,Gulf
17,negative,Riyadh,Saudi Arabia,Gulf
18,neutral,Riyadh,Saudi Arabia,Gulf
19,neutral,Riyadh,Saudi Arabia,Gulf
20,negative,Riyadh,Saudi Arabia,Gulf
21,negative,Salt,Jordan,Levant
22,negative,Jeddha,Saudi Arabia,Levant
23,negative,Salt,Jordan,Levant
24,positive,Jeddha,Saudi Arabia,Gulf
25,negative,Riyadh,Saudi Arabia,Gulf
26,neutral,Jeddha,Saudi Arabia,Gulf
27,negative,Jeddha,Saudi Arabia,Gulf
28,neutral,Riyadh,Saudi Arabia,Gulf
29,negative,Jeddha,Saudi Arabia,Gulf
30,negative,Salt,Jordan,Levant
31,negative,Riyadh,Saudi Arabia,Gulf
32,neutral,Riyadh,Saudi Arabia,Gulf
33,negative,Riyadh,Saudi Arabia,Gulf
34,neutral,Riyadh,Saudi Arabia,Gulf
35,neutral,Riyadh,Saudi Arabia,Gulf
36,neutral,Riyadh,Saudi Arabia,Gulf
37,negative,Riyadh,Saudi Arabia,Gulf
38,negative,Khartoum,Sudan,Nile Basin
39,neutral,Riyadh,Saudi Arabia,Gulf
40,negative,Riyadh,Saudi Arabia,Gulf
41,neutral,Riyadh,Saudi Arabia,Gulf
42,negative,Riyadh,Saudi Arabia,Gulf
43,neutral,Riyadh,Saudi Arabia,Gulf
44,neutral,Jeddha,Saudi Arabia,Gulf
45,neutral,Jeddha,Saudi Arabia,Gulf
46,negative,Riyadh,Saudi Arabia,Gulf
47,negative,Jeddha,Saudi Arabia,Gulf
48,negative,Riyadh,Saudi Arabia,Gulf
49,negative,Salt,Jordan,Levant
50,positive,Salt,Jordan,Levant
51,neutral,Riyadh,Saudi Arabia,Gulf
52,negative,Riyadh,Saudi Arabia,Gulf
53,negative,Jeddha,Saudi Arabia,Gulf
54,neutral,Jeddha,Saudi Arabia,Gulf
55,negative,Jeddha,Saudi Arabia,Gulf
56,positive,Jeddha,Saudi Arabia,Gulf
57,neutral,Jeddha,Saudi Arabia,Gulf
58,neutral,Jeddha,Saudi Arabia,Gulf
59,negative,Jeddha,Saudi Arabia,Gulf
60,neutral,Jeddha,Saudi Arabia,Gulf
61,neutral,Riyadh,Saudi Arabia,Gulf
62,neutral,Jeddha,Saudi Arabia,Gulf
63,positive,Jeddha,Saudi Arabia,Gulf
64,neutral,Riyadh,Saudi Arabia,Gulf
65,positive,Jeddha,Saudi Arabia,Gulf
66,neutral,Jeddha,Saudi Arabia,Gulf
67,neutral,Riyadh,Saudi Arabia,Gulf
68,neutral,Aleppo,Syria,Levant
69,positive,Jeddha,Saudi Arabia,Gulf
70,negative,Riyadh,Saudi Arabia,Gulf
71,negative,Riyadh,Saudi Arabia,Gulf
72,negative,Riyadh,Saudi Arabia,Gulf
73,positive,Jeddha,Saudi Arabia,Gulf
74,neutral,Jeddha,Saudi Arabia,Gulf
75,neutral,Riyadh,Saudi Arabia,Gulf
76,negative,Riyadh,Saudi Arabia,Gulf
77,positive,Jeddha,Saudi Arabia,Gulf
78,negative,Riyadh,Saudi Arabia,Gulf
79,negative,Riyadh,Saudi Arabia,Gulf
80,negative,Riyadh,Saudi Arabia,Gulf
81,negative,Riyadh,Saudi Arabia,Gulf
82,neutral,Riyadh,Saudi Arabia,Gulf
83,neutral,Riyadh,Saudi Arabia,Gulf
84,neutral,Rabat,Morocco,Maghreb
85,neutral,Salt,Jordan,Levant
86,neutral,Riyadh,Saudi Arabia,Gulf
87,neutral,Riyadh,Saudi Arabia,Gulf
88,neutral,Riyadh,Saudi Arabia,Gulf
89,neutral,Jeddha,Saudi Arabia,Gulf
90,neutral,Riyadh,Saudi Arabia,Gulf
91,positive,Jeddha,Saudi Arabia,Gulf
92,negative,Jeddha,Saudi Arabia,Gulf
93,negative,Jeddha,Saudi Arabia,Gulf
94,neutral,Riyadh,Saudi Arabia,Gulf
95,neutral,Riyadh,Saudi Arabia,Gulf
96,positive,Riyadh,Saudi Arabia,Gulf
97,negative,Riyadh,Saudi Arabia,Gulf
98,neutral,Riyadh,Saudi Arabia,Gulf
99,negative,Riyadh,Saudi Arabia,Gulf
100,neutral,Jeddha,Saudi Arabia,Gulf
101,positive,Riyadh,Saudi Arabia,Gulf
102,positive,Riyadh,Saudi Arabia,Gulf
103,negative,Salt,Jordan,Levant
104,negative,Riyadh,Saudi Arabia,Gulf
105,neutral,Riyadh,Saudi Arabia,Gulf
106,neutral,Jeddha,Saudi Arabia,Gulf
107,negative,Riyadh,Saudi Arabia,Gulf
108,neutral,Riyadh,Saudi Arabia,Gulf
109,positive,Riyadh,Saudi Arabia,Gulf
110,neutral,Riyadh,Saudi Arabia,Gulf
111,neutral,Riyadh,Saudi Arabia,Gulf
112,neutral,Riyadh,Saudi Arabia,Gulf
113,neutral,Riyadh,Saudi Arabia,Gulf
114,positive,Salt,Saudi Arabia,Gulf
115,neutral,Aleppo,Syria,Levant
116,negative,Jeddha,Saudi Arabia,Levant
117,negative,Riyadh,Saudi Arabia,Gulf
118,neutral,Riyadh,Saudi Arabia,Gulf
119,negative,Jeddha,Saudi Arabia,Levant
120,negative,Jeddha,Saudi Arabia,Gulf
121,neutral,Riyadh,Saudi Arabia,Gulf
122,neutral,Aleppo,Syria,Levant
123,negative,Riyadh,Saudi Arabia,Gulf
124,negative,Riyadh,Saudi Arabia,Gulf
125,negative,Riyadh,Saudi Arabia,Gulf
126,negative,Salt,Saudi Arabia,Gulf
127,neutral,Salt,Jordan,Levant
128,neutral,Jeddha,Saudi Arabia,Gulf
129,negative,Riyadh,Saudi Arabia,Gulf
130,negative,Salt,Jordan,Levant
131,negative,Riyadh,Saudi Arabia,Gulf
132,negative,Salt,Saudi Arabia,Gulf
133,neutral,Riyadh,Saudi Arabia,Gulf
134,neutral,Riyadh,Saudi Arabia,Gulf
135,neutral,Jeddha,Saudi Arabia,Gulf
136,positive,Riyadh,Saudi Arabia,Gulf
137,negative,Riyadh,Saudi Arabia,Gulf
138,negative,Riyadh,Saudi Arabia,Gulf
139,negative,Jeddha,Saudi Arabia,Levant
140,neutral,Riyadh,Saudi Arabia,Gulf
141,neutral,Riyadh,Saudi Arabia,Gulf
142,neutral,Salt,Jordan,Levant
143,neutral,Riyadh,Saudi Arabia,Gulf
144,neutral,Riyadh,Saudi Arabia,Gulf
145,neutral,Rabat,Morocco,Maghreb
146,negative,Salt,Jordan,Levant
147,negative,Riyadh,Saudi Arabia,Gulf
148,positive,Aleppo,Syria,Levant
149,negative,Riyadh,Saudi Arabia,Gulf
150,positive,Riyadh,Saudi Arabia,Gulf
151,neutral,Riyadh,Saudi Arabia,Gulf
152,neutral,Salt,Jordan,Levant
153,neutral,Riyadh,Saudi Arabia,Gulf
154,neutral,Riyadh,Saudi Arabia,Gulf
155,neutral,Riyadh,Saudi Arabia,Gulf
156,negative,Riyadh,Saudi Arabia,Gulf
157,neutral,Riyadh,Saudi Arabia,Gulf
158,neutral,Riyadh,Saudi Arabia,Gulf
159,neutral,Riyadh,Saudi Arabia,Gulf
160,neutral,Riyadh,Saudi Arabia,Gulf
161,negative,Riyadh,Saudi Arabia,Gulf
162,negative,Riyadh,Saudi Arabia,Gulf
163,negative,Riyadh,Saudi Arabia,Gulf
164,neutral,Riyadh,Saudi Arabia,Gulf
165,positive,Riyadh,Saudi Arabia,Gulf
166,negative,Jeddha,Saudi Arabia,Levant
167,neutral,Riyadh,Saudi Arabia,Gulf
168,positive,Riyadh,Saudi Arabia,Gulf
169,neutral,Riyadh,Saudi Arabia,Gulf
170,negative,Jeddha,Saudi Arabia,Levant
171,neutral,Riyadh,Saudi Arabia,Gulf
172,neutral,Salt,Jordan,Levant
173,neutral,Riyadh,Saudi Arabia,Gulf
174,neutral,Riyadh,Saudi Arabia,Gulf
175,neutral,Riyadh,Saudi Arabia,Gulf
176,negative,Riyadh,Saudi Arabia,Gulf
177,negative,Riyadh,Saudi Arabia,Gulf
178,neutral,Riyadh,Saudi Arabia,Gulf
179,negative,Riyadh,Saudi Arabia,Gulf
180,negative,Riyadh,Saudi Arabia,Gulf
181,neutral,Riyadh,Saudi Arabia,Gulf
182,neutral,Riyadh,Saudi Arabia,Gulf
183,negative,Riyadh,Saudi Arabia,Gulf
184,neutral,Riyadh,Saudi Arabia,Gulf
185,negative,Salt,Jordan,Levant
186,negative,Salt,Jordan,Levant
187,neutral,Riyadh,Saudi Arabia,Gulf
188,negative,Riyadh,Saudi Arabia,Gulf
189,negative,Riyadh,Saudi Arabia,Gulf
190,neutral,Salt,Jordan,Levant
191,neutral,Riyadh,Saudi Arabia,Gulf
192,neutral,Riyadh,Saudi Arabia,Gulf
193,negative,Riyadh,Saudi Arabia,Gulf
194,negative,Riyadh,Saudi Arabia,Gulf
195,positive,Riyadh,Saudi Arabia,Gulf
196,neutral,Jeddha,Saudi Arabia,Gulf
197,neutral,Aleppo,Syria,Levant
198,negative,Jeddha,Saudi Arabia,Gulf
199,negative,Riyadh,Saudi Arabia,Gulf
200,negative,Riyadh,Saudi Arabia,Gulf
201,neutral,Jeddha,Saudi Arabia,Levant
202,neutral,Riyadh,Saudi Arabia,Gulf
203,negative,Salt,Jordan,Levant
204,negative,Riyadh,Saudi Arabia,Gulf
205,negative,Salt,Jordan,Levant
206,neutral,Riyadh,Saudi Arabia,Gulf
207,neutral,Riyadh,Saudi Arabia,Gulf
208,neutral,Riyadh,Saudi Arabia,Gulf
209,negative,Rabat,Morocco,Maghreb
210,negative,Rabat,Morocco,Maghreb
211,negative,Riyadh,Saudi Arabia,Gulf
212,negative,Salt,Jordan,Levant
213,neutral,Salt,Jordan,Levant
214,positive,Riyadh,Saudi Arabia,Gulf
215,positive,Riyadh,Saudi Arabia,Gulf
216,neutral,Riyadh,Saudi Arabia,Gulf
217,negative,Rabat,Morocco,Maghreb
218,negative,Riyadh,Saudi Arabia,Gulf
219,neutral,Riyadh,Saudi Arabia,Gulf
220,negative,Riyadh,Saudi Arabia,Gulf
221,neutral,Salt,Jordan,Levant
222,neutral,Riyadh,Saudi Arabia,Gulf
223,negative,Riyadh,Saudi Arabia,Gulf
224,neutral,Riyadh,Saudi Arabia,Gulf
225,negative,Salt,Jordan,Levant
226,negative,Salt,Jordan,Levant
227,neutral,Salt,Jordan,Levant
228,neutral,Riyadh,Saudi Arabia,Gulf
229,neutral,Riyadh,Saudi Arabia,Gulf
230,negative,Riyadh,Saudi Arabia,Gulf
231,negative,Salt,Jordan,Levant
232,neutral,Riyadh,Saudi Arabia,Gulf
233,neutral,Jeddha,Saudi Arabia,Levant
234,negative,Jeddha,Saudi Arabia,Levant
235,negative,Riyadh,Saudi Arabia,Gulf
236,negative,Riyadh,Saudi Arabia,Gulf
237,neutral,Riyadh,Saudi Arabia,Gulf
238,neutral,Aleppo,Syria,Levant
239,neutral,Riyadh,Saudi Arabia,Gulf
240,negative,Jeddha,Saudi Arabia,Gulf
241,neutral,Riyadh,Saudi Arabia,Gulf
242,negative,Salt,Jordan,Levant
243,negative,Riyadh,Saudi Arabia,Gulf
244,negative,Riyadh,Saudi Arabia,Gulf
245,negative,Rabat,Morocco,Maghreb
246,neutral,Riyadh,Saudi Arabia,Gulf
247,neutral,Salt,Jordan,Levant
248,negative,Riyadh,Saudi Arabia,Gulf
249,negative,Riyadh,Saudi Arabia,Gulf
250,neutral,Riyadh,Saudi Arabia,Gulf
251,negative,Jeddha,Saudi Arabia,Gulf
252,neutral,Salt,Jordan,Levant
253,neutral,Riyadh,Saudi Arabia,Gulf
254,neutral,Riyadh,Saudi Arabia,Gulf
255,negative,Riyadh,Saudi Arabia,Gulf
256,neutral,Riyadh,Saudi Arabia,Gulf
257,neutral,Riyadh,Saudi Arabia,Gulf
258,negative,Jeddha,Saudi Arabia,Levant
259,neutral,Riyadh,Saudi Arabia,Gulf
260,neutral,Riyadh,Saudi Arabia,Gulf
261,neutral,Jeddha,Saudi Arabia,Gulf
262,negative,Riyadh,Saudi Arabia,Gulf
263,negative,Riyadh,Saudi Arabia,Gulf
264,negative,Salt,Jordan,Levant
265,positive,Riyadh,Saudi Arabia,Gulf
266,negative,Riyadh,Saudi Arabia,Gulf
267,neutral,Riyadh,Saudi Arabia,Gulf
268,neutral,Riyadh,Saudi Arabia,Gulf
269,neutral,Salt,Jordan,Levant
270,negative,Riyadh,Saudi Arabia,Gulf
271,negative,Riyadh,Saudi Arabia,Gulf
272,neutral,Riyadh,Saudi Arabia,Gulf
273,neutral,Jeddha,Saudi Arabia,Levant
274,neutral,Aleppo,Syria,Levant
275,neutral,Salt,Jordan,Levant
276,negative,Riyadh,Saudi Arabia,Gulf
277,neutral,Riyadh,Saudi Arabia,Gulf
278,neutral,Riyadh,Saudi Arabia,Gulf
279,neutral,Riyadh,Saudi Arabia,Gulf
280,negative,Salt,Jordan,Levant
281,negative,Riyadh,Saudi Arabia,Gulf
282,neutral,Jeddha,Saudi Arabia,Gulf
283,negative,Riyadh,Saudi Arabia,Gulf
284,negative,Riyadh,Saudi Arabia,Gulf
285,neutral,Jeddha,Saudi Arabia,Gulf
286,neutral,Riyadh,Saudi Arabia,Gulf
287,negative,Jeddha,Saudi Arabia,Gulf
288,negative,Riyadh,Saudi Arabia,Gulf
289,negative,Riyadh,Saudi Arabia,Gulf
290,negative,Riyadh,Saudi Arabia,Gulf
291,negative,Riyadh,Saudi Arabia,Gulf
292,neutral,Riyadh,Saudi Arabia,Gulf
293,neutral,Salt,Jordan,Levant
294,negative,Riyadh,Saudi Arabia,Gulf
295,neutral,Riyadh,Saudi Arabia,Gulf
296,neutral,Salt,Jordan,Levant
297,negative,Jeddha,Saudi Arabia,Levant
298,positive,Riyadh,Saudi Arabia,Gulf
299,neutral,Riyadh,Saudi Arabia,Gulf
300,neutral,Riyadh,Saudi Arabia,Gulf
301,neutral,Riyadh,Saudi Arabia,Gulf
302,neutral,Riyadh,Saudi Arabia,Gulf
303,neutral,Riyadh,Saudi Arabia,Gulf
304,negative,Riyadh,Saudi Arabia,Gulf
305,negative,Jeddha,Saudi Arabia,Levant
306,neutral,Riyadh,Saudi Arabia,Gulf
307,negative,Riyadh,Saudi Arabia,Gulf
308,neutral,Khartoum,Sudan,Nile Basin
309,neutral,Riyadh,Saudi Arabia,Gulf
310,neutral,Riyadh,Saudi Arabia,Gulf
311,neutral,Jeddha,Saudi Arabia,Gulf
312,negative,Riyadh,Saudi Arabia,Gulf
313,negative,Riyadh,Saudi Arabia,Gulf
314,neutral,Riyadh,Saudi Arabia,Gulf
315,negative,Riyadh,Saudi Arabia,Gulf
316,neutral,Riyadh,Saudi Arabia,Gulf
317,positive,Jeddha,Saudi Arabia,Levant
318,negative,Riyadh,Saudi Arabia,Gulf
319,neutral,Riyadh,Saudi Arabia,Gulf
320,negative,Riyadh,Saudi Arabia,Gulf
321,neutral,Riyadh,Saudi Arabia,Gulf
322,neutral,Salt,Jordan,Levant
323,neutral,Riyadh,Saudi Arabia,Gulf
324,neutral,Riyadh,Saudi Arabia,Gulf
325,neutral,Riyadh,Saudi Arabia,Gulf
326,neutral,Salt,Jordan,Levant
327,neutral,Riyadh,Saudi Arabia,Gulf
328,neutral,Salt,Jordan,Levant
329,neutral,Rabat,Morocco,Maghreb
330,neutral,Riyadh,Saudi Arabia,Gulf
331,negative,Riyadh,Saudi Arabia,Gulf
332,neutral,Salt,Jordan,Levant
333,negative,Riyadh,Saudi Arabia,Gulf
334,negative,Salt,Jordan,Levant
335,negative,Salt,Jordan,Levant
336,neutral,Jeddha,Saudi Arabia,Gulf
337,neutral,Riyadh,Saudi Arabia,Gulf
338,neutral,Salt,Saudi Arabia,Gulf
339,negative,Salt,Jordan,Levant
340,neutral,Jeddha,Saudi Arabia,Levant
341,negative,Salt,Jordan,Levant
342,negative,Salt,Jordan,Levant
343,neutral,Jeddha,Saudi Arabia,Gulf
344,neutral,Jeddha,Saudi Arabia,Levant
345,negative,Jeddha,Saudi Arabia,Gulf
346,negative,Riyadh,Saudi Arabia,Gulf
347,positive,Riyadh,Saudi Arabia,Gulf
348,negative,Riyadh,Saudi Arabia,Gulf
349,negative,Riyadh,Saudi Arabia,Gulf
350,negative,Salt,Jordan,Levant
351,neutral,Riyadh,Saudi Arabia,Gulf
352,positive,Riyadh,Saudi Arabia,Gulf
353,neutral,Riyadh,Saudi Arabia,Gulf
354,neutral,Riyadh,Saudi Arabia,Gulf
355,neutral,Aleppo,Syria,Levant
356,negative,Salt,Jordan,Levant
357,neutral,Riyadh,Saudi Arabia,Gulf
358,positive,Riyadh,Saudi Arabia,Gulf
359,neutral,Rabat,Morocco,Maghreb
360,negative,Riyadh,Saudi Arabia,Gulf
361,neutral,Aleppo,Syria,Levant
362,negative,Salt,Jordan,Levant
363,negative,Riyadh,Saudi Arabia,Gulf
364,negative,Riyadh,Saudi Arabia,Gulf
365,negative,Jeddha,Saudi Arabia,Gulf
